date,mrr,churn_rate,active_users,plan_tier,_parsed_date
2026-07-01,40000.0,1.5,1200.0,Enterprise,2026-07-01
2026-07-02,40120.0,1.52,1215.0,Pro,2026-07-02
2026-07-03,40240.0,1.54,1230.0,Starter,2026-07-03
2026-07-04,40360.0,1.56,1245.0,Enterprise,2026-07-04
2026-07-05,40480.0,1.58,1260.0,Pro,2026-07-05
2026-07-06,40600.0,1.6,1275.0,Starter,2026-07-06
2026-07-07,40720.0,1.62,1290.0,Enterprise,2026-07-07
2026-07-08,40840.0,1.6400000000000001,1305.0,Pro,2026-07-08
2026-07-09,40960.0,1.66,1320.0,Starter,2026-07-09
2026-07-10,41080.0,1.68,1335.0,Enterprise,2026-07-10
2026-07-11,41200.0,1.7,1350.0,Pro,2026-07-11
2026-07-12,41320.0,1.72,1365.0,Starter,2026-07-12
2026-07-13,41440.0,1.74,1380.0,Enterprise,2026-07-13
2026-07-14,41560.0,1.76,1395.0,Pro,2026-07-14
2026-07-15,41680.0,1.78,1410.0,Starter,2026-07-15
2026-07-16,41800.0,1.8,1425.0,Enterprise,2026-07-16
2026-07-17,41920.0,1.82,1440.0,Pro,2026-07-17
2026-07-18,42040.0,1.84,1455.0,Starter,2026-07-18
2026-07-19,42160.0,1.8599999999999999,1470.0,Enterprise,2026-07-19
2026-07-20,42280.0,1.88,1485.0,Pro,2026-07-20
2026-07-21,42400.0,1.9,1500.0,Starter,2026-07-21
2026-07-22,42520.0,1.92,1515.0,Enterprise,2026-07-22
2026-07-23,42640.0,1.94,1530.0,Pro,2026-07-23
2026-07-24,42760.0,1.96,1545.0,Starter,2026-07-24
2026-07-25,42880.0,1.98,1560.0,Enterprise,2026-07-25
2026-07-26,43000.0,2.0,1575.0,Pro,2026-07-26
2026-07-27,43120.0,2.02,1590.0,Starter,2026-07-27
2026-07-28,43240.0,2.04,1605.0,Enterprise,2026-07-28
2026-07-29,43360.0,2.06,1620.0,Pro,2026-07-29
2026-07-30,43480.0,2.08,1635.0,Starter,2026-07-30
2026-07-31,43600.0,2.1,1650.0,Enterprise,2026-07-31
2026-08-01,43720.0,2.12,1665.0,Pro,2026-08-01
2026-08-02,43840.0,2.14,1680.0,Starter,2026-08-02
2026-08-03,43960.0,2.16,1695.0,Enterprise,2026-08-03
2026-08-04,44080.0,2.18,1710.0,Pro,2026-08-04
2026-08-05,44200.0,2.2,1725.0,Starter,2026-08-05
2026-08-06,44320.0,2.2199999999999998,1740.0,Enterprise,2026-08-06
2026-08-07,44440.0,2.24,1755.0,Pro,2026-08-07
2026-08-08,44560.0,2.26,1770.0,Starter,2026-08-08
2026-08-09,44680.0,2.2800000000000002,1785.0,Enterprise,2026-08-09
2026-08-10,44800.0,2.3,1800.0,Pro,2026-08-10
2026-08-11,44920.0,2.3200000000000003,1815.0,Starter,2026-08-11
2026-08-12,45040.0,2.34,1830.0,Enterprise,2026-08-12
2026-08-13,45160.0,2.36,1845.0,Pro,2026-08-13
2026-08-14,45280.0,2.38,1860.0,Starter,2026-08-14
2026-08-15,45400.0,2.4,1875.0,Enterprise,2026-08-15
2026-08-16,45520.0,2.42,1890.0,Pro,2026-08-16
2026-08-17,45640.0,2.44,1905.0,Starter,2026-08-17
2026-08-18,45760.0,2.46,1920.0,Enterprise,2026-08-18
2026-08-19,45880.0,2.48,1935.0,Pro,2026-08-19
2026-08-20,46000.0,2.5,1950.0,Starter,2026-08-20
2026-08-21,46120.0,2.52,1965.0,Enterprise,2026-08-21
2026-08-22,46240.0,2.54,1980.0,Pro,2026-08-22
2026-08-23,46360.0,2.56,1995.0,Starter,2026-08-23
2026-08-24,46480.0,2.58,2010.0,Enterprise,2026-08-24
2026-08-25,46600.0,2.6,2025.0,Pro,2026-08-25
2026-08-26,46720.0,2.62,2040.0,Starter,2026-08-26
2026-08-27,46840.0,2.64,2055.0,Enterprise,2026-08-27
2026-08-28,46960.0,2.66,2070.0,Pro,2026-08-28
2026-08-29,47080.0,2.6799999999999997,2085.0,Starter,2026-08-29
