date,order_id,revenue,units,region,product_category,sales_channel,visitors,_parsed_date
2026-07-28,ORD-0728-3713,135.65,4.0,South,Home & Living,Mobile App,99.0,2026-07-28
2026-07-28,ORD-0728-8729,58.8,2.0,North,Health & Beauty,Mobile App,107.0,2026-07-28
2026-07-28,ORD-0728-3110,92.27,2.0,North,Electronics,Marketplace,87.0,2026-07-28
2026-07-28,ORD-0728-5455,39.7,2.0,East,Home & Living,In-Store POS,113.0,2026-07-28
2026-07-28,ORD-0728-3877,79.62,4.0,North,Home & Living,Mobile App,105.0,2026-07-28
2026-07-28,ORD-0728-5773,81.78,3.0,West,Home & Living,Online Store,143.0,2026-07-28
2026-07-28,ORD-0728-8051,112.78,3.0,North,Electronics,Mobile App,94.0,2026-07-28
2026-07-28,ORD-0728-1012,90.07,3.0,North,Home & Living,Marketplace,131.0,2026-07-28
2026-07-28,ORD-0728-4158,49.04,3.0,West,Health & Beauty,In-Store POS,139.0,2026-07-28
2026-07-28,ORD-0728-8123,49.05,3.0,South,Apparel,Mobile App,147.0,2026-07-28
2026-07-28,ORD-0728-1678,165.02,3.0,West,Health & Beauty,Online Store,92.0,2026-07-28
2026-07-28,ORD-0728-8347,309.83,1.0,North,Electronics,Online Store,145.0,2026-07-28
2026-07-28,ORD-0728-4551,323.9,2.0,West,Electronics,Marketplace,89.0,2026-07-28
2026-07-28,ORD-0728-1593,29.95,4.0,South,Apparel,In-Store POS,114.0,2026-07-28
2026-07-28,ORD-0728-4779,128.25,1.0,North,Home & Living,Marketplace,139.0,2026-07-28
2026-07-28,ORD-0728-2735,117.67,2.0,East,Electronics,Online Store,97.0,2026-07-28
2026-07-28,ORD-0728-7912,55.09,2.0,South,Home & Living,In-Store POS,85.0,2026-07-28
2026-07-28,ORD-0728-3491,276.96,3.0,North,Electronics,Marketplace,95.0,2026-07-28
2026-07-28,ORD-0728-6402,387.7,4.0,South,Electronics,Online Store,139.0,2026-07-28
2026-07-28,ORD-0728-3091,99.41,2.0,West,Home & Living,In-Store POS,81.0,2026-07-28
2026-07-28,ORD-0728-4256,115.01,1.0,West,Health & Beauty,Mobile App,84.0,2026-07-28
2026-07-28,ORD-0728-1614,77.06,4.0,South,Health & Beauty,Online Store,125.0,2026-07-28
2026-07-28,ORD-0728-1668,110.14,2.0,South,Apparel,In-Store POS,86.0,2026-07-28
2026-07-28,ORD-0728-1864,82.96,1.0,West,Apparel,Marketplace,108.0,2026-07-28
2026-07-28,ORD-0728-1665,315.38,1.0,North,Electronics,Online Store,137.0,2026-07-28
2026-07-29,ORD-0729-7866,250.1,2.0,South,Electronics,Online Store,112.0,2026-07-29
2026-07-29,ORD-0729-7795,115.65,3.0,East,Electronics,In-Store POS,131.0,2026-07-29
2026-07-29,ORD-0729-3688,154.2,2.0,East,Home & Living,In-Store POS,142.0,2026-07-29
2026-07-29,ORD-0729-7970,156.79,3.0,North,Apparel,Mobile App,89.0,2026-07-29
2026-07-29,ORD-0729-8518,91.29,3.0,South,Home & Living,Marketplace,90.0,2026-07-29
2026-07-29,ORD-0729-6783,266.53,4.0,West,Electronics,In-Store POS,132.0,2026-07-29
2026-07-29,ORD-0729-9950,157.99,2.0,South,Home & Living,In-Store POS,129.0,2026-07-29
2026-07-29,ORD-0729-7796,139.42,3.0,North,Electronics,Online Store,145.0,2026-07-29
2026-07-29,ORD-0729-5702,70.74,2.0,South,Apparel,In-Store POS,102.0,2026-07-29
2026-07-29,ORD-0729-4914,35.82,1.0,East,Home & Living,Marketplace,149.0,2026-07-29
2026-07-29,ORD-0729-7912,109.15,3.0,North,Health & Beauty,In-Store POS,124.0,2026-07-29
2026-07-29,ORD-0729-7520,95.68,2.0,East,Apparel,Online Store,91.0,2026-07-29
2026-07-29,ORD-0729-4661,174.65,3.0,North,Health & Beauty,Mobile App,107.0,2026-07-29
2026-07-29,ORD-0729-9171,158.47,1.0,North,Health & Beauty,In-Store POS,83.0,2026-07-29
2026-07-29,ORD-0729-7089,129.47,1.0,East,Electronics,Mobile App,93.0,2026-07-29
2026-07-29,ORD-0729-1549,98.16,1.0,South,Health & Beauty,Online Store,143.0,2026-07-29
2026-07-29,ORD-0729-7692,74.7,4.0,South,Health & Beauty,Online Store,139.0,2026-07-29
2026-07-29,ORD-0729-6122,140.49,2.0,North,Apparel,Online Store,141.0,2026-07-29
2026-07-29,ORD-0729-2968,83.82,2.0,North,Electronics,Marketplace,112.0,2026-07-29
2026-07-29,ORD-0729-5468,121.73,2.0,West,Electronics,Marketplace,115.0,2026-07-29
2026-07-29,ORD-0729-1409,176.06,1.0,South,Home & Living,Mobile App,92.0,2026-07-29
2026-07-29,ORD-0729-1803,252.72,2.0,North,Electronics,In-Store POS,100.0,2026-07-29
2026-07-29,ORD-0729-3563,178.33,4.0,North,Home & Living,In-Store POS,80.0,2026-07-29
2026-07-29,ORD-0729-7690,26.73,2.0,North,Apparel,Online Store,133.0,2026-07-29
2026-07-29,ORD-0729-3183,338.24,4.0,South,Electronics,Marketplace,108.0,2026-07-29
2026-07-29,ORD-0729-7272,177.62,3.0,West,Home & Living,Mobile App,93.0,2026-07-29
2026-07-29,ORD-0729-5849,324.44,1.0,North,Electronics,Marketplace,119.0,2026-07-29
2026-07-29,ORD-0729-9745,168.81,1.0,South,Health & Beauty,In-Store POS,133.0,2026-07-29
2026-07-29,ORD-0729-5324,84.65,2.0,South,Health & Beauty,Marketplace,106.0,2026-07-29
2026-07-29,ORD-0729-1661,86.74,3.0,East,Home & Living,In-Store POS,138.0,2026-07-29
2026-07-30,ORD-0730-7343,379.68,4.0,West,Electronics,In-Store POS,99.0,2026-07-30
2026-07-30,ORD-0730-6706,148.65,4.0,South,Apparel,In-Store POS,88.0,2026-07-30
2026-07-30,ORD-0730-5895,347.02,1.0,South,Electronics,In-Store POS,109.0,2026-07-30
2026-07-30,ORD-0730-2362,161.8,1.0,West,Apparel,Mobile App,108.0,2026-07-30
2026-07-30,ORD-0730-1277,63.63,2.0,North,Health & Beauty,In-Store POS,138.0,2026-07-30
2026-07-30,ORD-0730-7405,61.8,4.0,North,Home & Living,Online Store,119.0,2026-07-30
2026-07-30,ORD-0730-3509,62.53,2.0,West,Health & Beauty,Mobile App,145.0,2026-07-30
2026-07-30,ORD-0730-5608,173.74,3.0,East,Home & Living,Marketplace,82.0,2026-07-30
2026-07-30,ORD-0730-7723,127.95,3.0,North,Health & Beauty,Marketplace,129.0,2026-07-30
2026-07-30,ORD-0730-9988,112.33,4.0,West,Health & Beauty,Mobile App,142.0,2026-07-30
2026-07-30,ORD-0730-6020,134.94,1.0,East,Apparel,Marketplace,85.0,2026-07-30
2026-07-30,ORD-0730-1066,163.28,2.0,South,Apparel,Mobile App,132.0,2026-07-30
2026-07-30,ORD-0730-3682,137.81,4.0,East,Health & Beauty,In-Store POS,110.0,2026-07-30
2026-07-30,ORD-0730-4001,174.15,4.0,South,Home & Living,Mobile App,88.0,2026-07-30
2026-07-30,ORD-0730-3891,192.13,1.0,South,Electronics,Marketplace,150.0,2026-07-30
2026-07-30,ORD-0730-8128,48.42,4.0,East,Health & Beauty,Online Store,149.0,2026-07-30
2026-07-30,ORD-0730-8337,88.58,1.0,East,Home & Living,Online Store,117.0,2026-07-30
2026-07-30,ORD-0730-3601,170.09,3.0,South,Home & Living,Marketplace,124.0,2026-07-30
2026-07-30,ORD-0730-1998,125.03,2.0,South,Home & Living,Mobile App,91.0,2026-07-30
2026-07-30,ORD-0730-6391,178.29,2.0,North,Health & Beauty,Online Store,120.0,2026-07-30
2026-07-30,ORD-0730-4759,151.16,3.0,East,Health & Beauty,Marketplace,92.0,2026-07-30
2026-07-30,ORD-0730-6166,87.27,2.0,South,Health & Beauty,In-Store POS,146.0,2026-07-30
2026-07-30,ORD-0730-3188,62.88,1.0,South,Apparel,Marketplace,121.0,2026-07-30
2026-07-30,ORD-0730-9733,384.19,3.0,South,Electronics,Marketplace,130.0,2026-07-30
2026-07-30,ORD-0730-2859,91.05,2.0,South,Home & Living,Online Store,107.0,2026-07-30
2026-07-31,ORD-0731-2422,148.19,2.0,South,Home & Living,Marketplace,93.0,2026-07-31
2026-07-31,ORD-0731-7313,136.9,3.0,North,Apparel,Mobile App,107.0,2026-07-31
2026-07-31,ORD-0731-4632,155.17,2.0,South,Health & Beauty,In-Store POS,143.0,2026-07-31
2026-07-31,ORD-0731-7424,114.46,2.0,East,Home & Living,Online Store,144.0,2026-07-31
2026-07-31,ORD-0731-9201,95.22,4.0,East,Electronics,Marketplace,108.0,2026-07-31
2026-07-31,ORD-0731-4739,217.61,1.0,East,Electronics,Online Store,127.0,2026-07-31
2026-07-31,ORD-0731-8203,155.62,1.0,North,Electronics,Marketplace,91.0,2026-07-31
2026-07-31,ORD-0731-8728,332.76,1.0,East,Electronics,Online Store,104.0,2026-07-31
2026-07-31,ORD-0731-6343,359.83,4.0,North,Electronics,Marketplace,127.0,2026-07-31
2026-07-31,ORD-0731-4389,260.44,4.0,South,Electronics,Online Store,96.0,2026-07-31
2026-07-31,ORD-0731-9313,356.29,4.0,West,Electronics,Marketplace,135.0,2026-07-31
2026-07-31,ORD-0731-1115,55.7,2.0,South,Home & Living,Online Store,92.0,2026-07-31
2026-07-31,ORD-0731-1490,52.75,2.0,North,Electronics,Mobile App,91.0,2026-07-31
2026-07-31,ORD-0731-7032,57.16,4.0,North,Home & Living,Online Store,131.0,2026-07-31
2026-07-31,ORD-0731-5500,48.53,1.0,West,Home & Living,Marketplace,102.0,2026-07-31
2026-07-31,ORD-0731-1882,145.05,3.0,North,Health & Beauty,Marketplace,106.0,2026-07-31
2026-07-31,ORD-0731-4759,73.43,1.0,West,Electronics,In-Store POS,141.0,2026-07-31
2026-07-31,ORD-0731-6782,45.12,4.0,West,Health & Beauty,Marketplace,113.0,2026-07-31
2026-07-31,ORD-0731-8453,38.57,1.0,East,Health & Beauty,In-Store POS,134.0,2026-07-31
2026-07-31,ORD-0731-3477,54.86,1.0,East,Apparel,Marketplace,124.0,2026-07-31
2026-07-31,ORD-0731-3488,390.25,2.0,North,Electronics,Marketplace,133.0,2026-07-31
2026-07-31,ORD-0731-1768,78.78,2.0,North,Health & Beauty,Online Store,100.0,2026-07-31
2026-07-31,ORD-0731-5223,124.01,1.0,West,Apparel,Marketplace,126.0,2026-07-31
2026-07-31,ORD-0731-6719,52.63,1.0,West,Home & Living,In-Store POS,100.0,2026-07-31
2026-07-31,ORD-0731-6173,31.68,2.0,South,Home & Living,Marketplace,127.0,2026-07-31
2026-07-31,ORD-0731-6036,155.1,1.0,South,Apparel,In-Store POS,98.0,2026-07-31
2026-07-31,ORD-0731-5725,32.11,1.0,North,Home & Living,Mobile App,140.0,2026-07-31
2026-07-31,ORD-0731-6317,250.96,4.0,West,Electronics,Marketplace,80.0,2026-07-31
2026-07-31,ORD-0731-6510,82.26,4.0,East,Health & Beauty,In-Store POS,127.0,2026-07-31
2026-07-31,ORD-0731-2705,117.26,4.0,West,Home & Living,Online Store,104.0,2026-07-31
2026-07-31,ORD-0731-4776,99.75,1.0,East,Health & Beauty,Mobile App,113.0,2026-07-31
2026-07-31,ORD-0731-5595,139.76,1.0,East,Electronics,Online Store,93.0,2026-07-31
